               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.014611,           0.0036529,            0.001637,             0.99918,             0.96532,             0.98855,             0.81138,            0.015893,            0.004634,           0.0015088,            0.002344,            0.002344,            0.002344
                 118,            0.014673,            0.003544,           0.0014941,             0.99573,              0.9704,             0.98794,              0.8206,            0.016198,           0.0046454,           0.0014159,            0.002278,            0.002278,            0.002278
                 119,             0.01496,           0.0035771,           0.0014626,             0.99431,             0.97582,             0.98688,               0.821,             0.01506,           0.0047401,           0.0013818,            0.002212,            0.002212,            0.002212
                 120,            0.015134,           0.0033827,           0.0015414,             0.98396,             0.97851,             0.98598,             0.80843,            0.015405,           0.0047597,           0.0013678,            0.002146,            0.002146,            0.002146
                 121,            0.014507,           0.0033932,            0.001469,             0.99589,             0.97349,             0.98615,             0.82466,             0.01623,           0.0047973,           0.0013586,             0.00208,             0.00208,             0.00208
                 122,            0.013829,            0.003501,           0.0012938,             0.99689,             0.97545,             0.98789,             0.80733,            0.015793,           0.0046118,           0.0013943,            0.002014,            0.002014,            0.002014
                 123,              0.0139,            0.003268,           0.0015629,             0.98694,              0.9818,             0.98866,             0.81612,            0.015438,           0.0044636,           0.0014185,            0.001948,            0.001948,            0.001948
                 124,            0.013921,           0.0032765,            0.001666,             0.99597,             0.95986,             0.98797,             0.81856,             0.01497,           0.0046461,           0.0013809,            0.001882,            0.001882,            0.001882
                 125,            0.013177,           0.0035267,           0.0012659,             0.98749,             0.97204,             0.98771,             0.81675,            0.014612,           0.0046262,           0.0013388,            0.001816,            0.001816,            0.001816
                 126,            0.014369,           0.0034794,           0.0017864,              0.9896,             0.97513,             0.98665,             0.82021,             0.01547,           0.0046959,            0.001327,             0.00175,             0.00175,             0.00175
                 127,            0.013887,           0.0034571,           0.0015676,             0.99182,             0.97253,             0.98753,             0.82259,            0.014963,           0.0046098,           0.0013421,            0.001684,            0.001684,            0.001684
                 128,            0.013614,           0.0032349,           0.0012954,             0.98918,             0.97611,             0.98723,             0.81489,            0.015278,           0.0046786,           0.0013466,            0.001618,            0.001618,            0.001618
                 129,            0.013099,           0.0032986,           0.0012953,             0.98824,             0.97403,             0.98741,               0.823,            0.015009,           0.0045964,           0.0013385,            0.001552,            0.001552,            0.001552
                 130,            0.013411,           0.0033906,           0.0015465,               0.992,             0.97074,             0.98682,             0.81756,            0.015442,           0.0046718,           0.0013207,            0.001486,            0.001486,            0.001486
                 131,            0.012946,           0.0034035,           0.0012849,             0.99482,             0.97059,             0.98652,             0.81846,            0.015016,           0.0045791,           0.0013022,             0.00142,             0.00142,             0.00142
                 132,            0.013313,           0.0034375,           0.0013676,             0.98999,             0.97271,             0.98528,             0.81448,            0.015531,           0.0045856,           0.0012787,            0.001354,            0.001354,            0.001354
                 133,             0.01295,           0.0032316,           0.0013106,             0.99359,             0.96925,             0.98707,             0.82105,            0.014628,           0.0044962,           0.0012654,            0.001288,            0.001288,            0.001288
                 134,            0.013408,           0.0033308,            0.001386,             0.99157,             0.96443,             0.98775,             0.83107,            0.014297,           0.0043924,           0.0012418,            0.001222,            0.001222,            0.001222
                 135,             0.01314,           0.0033348,           0.0013731,              0.9812,             0.97106,             0.98805,             0.82319,             0.01485,           0.0045321,            0.001231,            0.001156,            0.001156,            0.001156
                 136,            0.012672,           0.0032704,            0.001237,             0.98275,             0.97112,             0.98664,             0.82661,            0.014214,             0.00458,           0.0012131,             0.00109,             0.00109,             0.00109
                 137,            0.012448,           0.0034108,           0.0012217,             0.99454,             0.96658,             0.98631,             0.82043,            0.014366,           0.0046998,           0.0011888,            0.001024,            0.001024,            0.001024
                 138,            0.012301,           0.0030919,            0.001195,             0.99074,             0.97109,             0.98634,             0.82362,            0.014491,           0.0046407,           0.0011719,            0.000958,            0.000958,            0.000958
                 139,            0.012279,           0.0033946,            0.001141,             0.98779,             0.97272,              0.9861,             0.81728,             0.01477,           0.0046873,           0.0011488,            0.000892,            0.000892,            0.000892
